date,i,symbol,Open,High,Low,Adj Close,Volume,OpenInterest,nifty,niftyHigh,niftyLow,option_type,strike,expiry
2023-05-30 09:17:00+05:30,1,NIFTY01JUN2318400CE,217.8,217.8,215.9,215.9,250,2513950.0,18585.5,18586.65,18585.5,CE,18400,2023-06-01
2023-05-30 09:17:02+05:30,2,NIFTY01JUN2318400CE,215.55,215.55,214.65,214.65,2500,2513950.0,18583.1,18585.2,18583.1,CE,18400,2023-06-01
2023-05-30 09:17:04+05:30,3,NIFTY01JUN2318400CE,212.4,212.4,211.6,211.6,6650,2513950.0,18581.7,18582.65,18581.7,CE,18400,2023-06-01
2023-05-30 09:17:06+05:30,4,NIFTY01JUN2318400CE,212.5,212.5,211.95,211.95,1250,2513950.0,18580.2,18580.2,18579.15,CE,18400,2023-06-01
2023-05-30 09:17:08+05:30,5,NIFTY01JUN2318400CE,211.05,211.95,211.05,211.95,750,2513950.0,18580.05,18580.05,18578.2,CE,18400,2023-06-01
2023-05-30 09:17:10+05:30,6,NIFTY01JUN2318400CE,213.05,214.1,213.05,214.1,300,2513950.0,18580.6,18580.6,18579.75,CE,18400,2023-06-01
2023-05-30 09:17:12+05:30,7,NIFTY01JUN2318400CE,214.15,214.25,214.15,214.25,200,2513950.0,18582.1,18582.1,18580.45,CE,18400,2023-06-01
2023-05-30 09:17:14+05:30,8,NIFTY01JUN2318400CE,214.55,215.35,214.55,215.35,100,2513950.0,18584.95,18584.95,18583.0,CE,18400,2023-06-01
2023-05-30 09:17:16+05:30,9,NIFTY01JUN2318400CE,214.4,214.4,214.4,214.4,300,2513950.0,18585.4,18585.8,18585.4,CE,18400,2023-06-01
2023-05-30 09:17:18+05:30,10,NIFTY01JUN2318400CE,213.7,214.2,213.7,214.2,100,2513950.0,18586.35,18586.35,18585.0,CE,18400,2023-06-01
2023-05-30 09:17:20+05:30,11,NIFTY01JUN2318400CE,213.6,214.25,213.6,214.25,1500,2513950.0,18588.45,18588.45,18587.15,CE,18400,2023-06-01
2023-05-30 09:17:22+05:30,12,NIFTY01JUN2318400CE,214.25,214.25,214.25,214.25,0,2528100.0,18586.25,18586.25,18586.25,CE,18400,2023-06-01
2023-05-30 09:17:24+05:30,13,NIFTY01JUN2318400CE,213.0,213.8,213.0,213.8,600,2528100.0,18586.4,18586.95,18586.4,CE,18400,2023-06-01
