date,i,symbol,Open,High,Low,Adj Close,Volume,Open Interest,option_type,strike,expiry,nifty,niftyHigh,niftyLow,signal,ATR,renko_uptrend,renko_brick_num,renko_brick_diff,unique_brick_id,renko_brick_volume,renko_brick_volume_osc,renko_static_candles,renko_brick_high,renko_brick_low,trade_price,limit1,limit2,sl1,sl2,bnh_returns,cum_bnh_returns,bnh_ln_returns,cum_bnh_ln_returns,position,position_change,strategy_returns,cum_strategy_returns,strategy_ln_returns,cum_strategy_ln_returns,trade_num,return,cum_return,sum_return,prev_peak_cum_return,drawdown_from_prev_peak,prev_peak_sum_return,drawdown_from_prev_peak_sum
2022-05-02 09:26:00+05:30,12,NIFTYWEEKLYOPTIONCall,256.0,253.75,241.35,242.6,46700.0,309000,CE,16800,2022-05-05,16957.85,16973.05,16956.0,0.0,13.51327850607563,False,-1.0,0.0,2022-05-02 09:26:00+05:30-1.0,139300.0,0.69008016332903,0.0,260.0,250.0,,,,,,-0.056640625,-0.04356435643564338,-0.022021365056537675,0.013766195764148042,1.0,1.0,-0.056640625,-0.056640625,-0.022021365056537675,-0.022021365056537675,0.0,-0.056640625,-0.056640625,-0.056640625,-0.056640625,0.0,-0.056640625,0.0
2022-05-02 09:27:00+05:30,13,NIFTYWEEKLYOPTIONCall,241.5,248.6,235.35,248.6,57950.0,309000,CE,16800,2022-05-05,16970.95,16971.0,16948.65,,13.488135649681407,False,-1.0,0.0,2022-05-02 09:26:00+05:30-1.0,139300.0,0.69008016332903,0.0,260.0,250.0,,,,-244.1,,0.0331262939958592,-0.01188118811881167,-0.058307971386935095,-0.04454177562278705,0.0,-1.0,0.0,-0.056640625,-0.0,-0.022021365056537675,1.0,0.0,-0.056640625,-0.056640625,-0.056640625,0.0,-0.056640625,0.0
2022-05-02 09:29:00+05:30,15,NIFTYWEEKLYOPTIONCall,243.8559,242.6,234.3,234.3,22900.0,309450,CE,16800,2022-05-05,16945.8,16958.25,16945.8,,13.48990071676067,False,-2.0,-1.0,2022-05-02 09:29:00+05:30-2.0,100600.0,0.49836370732878976,0.0,250.0,240.0,,202.0,,244.3,,-0.03959674545500025,-0.07247524752475232,-0.022881438126242593,-0.03483377165008368,-1.0,-1.0,0.03959674545500025,-0.019286663955536798,0.022881438126242593,0.0008600730697049183,2.0,-0.0028229786525567004,-0.059303708377314135,-0.0594636036525567,-0.056640625,-0.002663083377314135,-0.056640625,-0.0028229786525567
2022-05-02 09:31:00+05:30,17,NIFTYWEEKLYOPTIONCall,244.5443,239.85,229.15,230.6,32400.0,309450,CE,16800,2022-05-05,16938.9,16959.55,16936.85,,13.475215743788844,False,-2.0,0.0,2022-05-02 09:29:00+05:30-2.0,100600.0,0.49836370732878976,1.0,250.0,240.0,,-254.0,,,,-0.05845280384780993,-0.08811881188118798,0.04322102743316138,-0.03201477011863617,0.0,1.0,-0.0,-0.06260345713249982,0.0,0.04126209897141878,3.0,-0.0,-0.059303708377314135,-0.0594636036525567,-0.056640625,-0.002663083377314135,-0.056640625,-0.0028229786525567
2022-05-02 09:39:00+05:30,25,NIFTYWEEKLYOPTIONCall,244.0,258.0,249.15,256.3,51150.0,391350,CE,16800,2022-05-05,16984.55,16986.3,16973.15,0.0,12.171867542325115,True,1.0,0.0,2022-05-02 09:39:00+05:301.0,51150.0,0.2533926802173717,0.0,250.0,240.0,,,,,,0.05655737704918029,0.020990099009900787,0.01798869968756149,-0.03424302342221284,-1.0,-1.0,-0.05655737704918029,-0.11562014685205513,-0.01798869968756149,0.023273399283857292,4.0,-0.056557377049180374,-0.11250702323138417,-0.11602098070173708,-0.056640625,-0.05586639823138417,-0.056640625,-0.05938035570173708
2022-05-02 09:40:00+05:30,26,NIFTYWEEKLYOPTIONCall,257.8,266.75,257.8,266.75,33200.0,391350,CE,16800,2022-05-05,16995.45,16996.25,16984.35,,12.091615776061964,True,2.0,1.0,2022-05-02 09:40:00+05:302.0,109900.0,0.5444351037319483,0.0,260.0,250.0,,246.0,,,,0.03413498836307216,0.05584158415841567,0.05501586521188511,0.020772841789672272,0.0,1.0,0.0,-0.11562014685205513,0.0,0.023273399283857292,5.0,-0.0,-0.11250702323138417,-0.11602098070173708,-0.056640625,-0.05586639823138417,-0.056640625,-0.05938035570173708
2022-05-02 09:48:00+05:30,34,NIFTYWEEKLYOPTIONCall,256.0,259.0,250.4,254.35,20300.0,352700,CE,16800,2022-05-05,16976.35,16980.05,16973.0,,12.11088162719101,True,3.0,0.0,2022-05-02 09:43:00+05:303.0,191750.0,0.9499129312156604,4.0,270.0,260.0,,-298.0,,-250.0,,-0.006445312500000022,0.007326732673267333,-0.02735674356668462,0.013766195764147837,1.0,1.0,-0.006445312500000022,-0.1213202513742978,-0.02735674356668462,-0.004083344282827327,6.0,-0.0244140625,-0.13417433223452424,-0.14043504320173708,-0.056640625,-0.07753370723452424,-0.056640625,-0.08379441820173708
2022-05-02 09:50:00+05:30,36,NIFTYWEEKLYOPTIONCall,249.75,252.6,243.35,250.9,25700.0,362800,CE,16800,2022-05-05,16971.3,16972.7,16959.5,,11.800072212356753,False,-1.0,0.0,2022-05-02 09:49:00+05:30-1.0,469850.0,2.3275963010778518,0.0,260.0,250.0,,,,-244.1,,0.009009009009008917,-0.001980198019802093,-0.018250853740111102,-0.010950831186751737,0.0,-1.0,0.0,-0.13721145186054995,-0.0,-0.010549517493615799,7.0,0.0,-0.13417433223452424,-0.14043504320173708,-0.056640625,-0.07753370723452424,-0.056640625,-0.08379441820173708
2022-05-02 10:36:00+05:30,82,NIFTYWEEKLYOPTIONCall,276.17589999999996,274.95,271.5,273.65,8700.0,395350,CE,16800,2022-05-05,16999.75,17002.0,16997.05,,8.951871243721017,True,1.0,0.0,2022-05-02 10:17:00+05:301.0,284400.0,1.4088930254901373,18.0,270.0,260.0,,-294.0,,-263.65,,-0.005887190011872656,0.08732673267326807,0.013399367453025104,0.08962673284090959,1.0,1.0,-0.005887190011872656,-0.14229085198351465,0.013399367453025104,0.0028498499594093053,8.0,0.026035761990818168,-0.11163190122304101,-0.11439928121091891,-0.056640625,-0.05499127622304101,-0.056640625,-0.05775865621091891
2022-05-02 10:46:00+05:30,92,NIFTYWEEKLYOPTIONCall,283.36634999999995,285.9,275.2,278.6,23650.0,384800,CE,16800,2022-05-05,17001.1,17013.6,16999.55,,8.89512319399981,True,3.0,0.0,2022-05-02 10:39:00+05:303.0,414150.0,2.0516633140180742,6.0,290.0,280.0,,276.0,,,,-0.014703051367955133,0.10574257425742695,-0.035988482019376176,0.11532933472357873,0.0,-1.0,-0.0,-0.11474809457278723,-0.0,0.0645409338614546,9.0,-0.0,-0.11163190122304101,-0.11439928121091891,-0.056640625,-0.05499127622304101,-0.056640625,-0.05775865621091891
2022-05-02 10:48:00+05:30,94,NIFTYWEEKLYOPTIONCall,276.0,281.9,276.0,278.55,11850.0,406250,CE,16800,2022-05-05,17002.75,17008.7,16999.0,,8.855673090268077,True,3.0,0.0,2022-05-02 10:39:00+05:303.0,414150.0,2.0516633140180742,8.0,290.0,280.0,,-304.0,,-270.0,,0.00923913043478275,0.10316831683168459,-0.011527505171067383,0.08898961700173627,1.0,1.0,0.00923913043478275,-0.10656913675090529,-0.011527505171067383,0.053013428690387214,10.0,-0.02271739130434776,-0.13181330694525673,-0.13711667251526666,-0.056640625,-0.07517268194525673,-0.056640625,-0.08047604751526666
